"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.47500000000E+009, -6.51249441728E-001, +0.00000000000E+000
+2.48000000000E+009, -6.83570189495E-001, +0.00000000000E+000
+2.48500000000E+009, -7.33907093780E-001, +0.00000000000E+000
+2.49000000000E+009, -8.40802053224E-001, +0.00000000000E+000
+2.49500000000E+009, -9.77322022064E-001, +0.00000000000E+000
+2.50000000000E+009, -1.13978467691E+000, +0.00000000000E+000
+2.50500000000E+009, -1.35593510201E+000, +0.00000000000E+000
+2.51000000000E+009, -1.63343225810E+000, +0.00000000000E+000
+2.51500000000E+009, -1.93815980253E+000, +0.00000000000E+000
+2.52000000000E+009, -2.27327366389E+000, +0.00000000000E+000
+2.52500000000E+009, -2.58441235188E+000, +0.00000000000E+000
+2.53000000000E+009, -2.79854339665E+000, +0.00000000000E+000
+2.53500000000E+009, -2.91706410526E+000, +0.00000000000E+000
+2.54000000000E+009, -2.87689488679E+000, +0.00000000000E+000
+2.54500000000E+009, -2.68968887036E+000, +0.00000000000E+000
+2.55000000000E+009, -2.44997510382E+000, +0.00000000000E+000
+2.55500000000E+009, -2.13209064416E+000, +0.00000000000E+000
+2.56000000000E+009, -1.83667891613E+000, +0.00000000000E+000
+2.56500000000E+009, -1.55124236625E+000, +0.00000000000E+000
+2.57000000000E+009, -1.31673879067E+000, +0.00000000000E+000
+2.57500000000E+009, -1.12974560867E+000, +0.00000000000E+000
+2.58000000000E+009, -9.86204626722E-001, +0.00000000000E+000
+2.58500000000E+009, -8.88156723034E-001, +0.00000000000E+000
+2.59000000000E+009, -8.31135654496E-001, +0.00000000000E+000
+2.59500000000E+009, -8.05592927295E-001, +0.00000000000E+000
+2.60000000000E+009, -8.36253908945E-001, +0.00000000000E+000
+2.60500000000E+009, -9.05876156210E-001, +0.00000000000E+000
+2.61000000000E+009, -1.02462788240E+000, +0.00000000000E+000
+2.61500000000E+009, -1.19130828973E+000, +0.00000000000E+000
+2.62000000000E+009, -1.43010955454E+000, +0.00000000000E+000
+2.62500000000E+009, -1.74952802054E+000, +0.00000000000E+000
+2.63000000000E+009, -2.20926496479E+000, +0.00000000000E+000
+2.63500000000E+009, -2.84551225152E+000, +0.00000000000E+000
+2.64000000000E+009, -3.73339265503E+000, +0.00000000000E+000
+2.64500000000E+009, -4.96850032405E+000, +0.00000000000E+000
+2.65000000000E+009, -6.73533227935E+000, +0.00000000000E+000
+2.65500000000E+009, -9.23172230851E+000, +0.00000000000E+000
+2.66000000000E+009, -1.26721802611E+001, +0.00000000000E+000
+2.66500000000E+009, -1.59986809165E+001, +0.00000000000E+000
+2.67000000000E+009, -1.51475856365E+001, +0.00000000000E+000
+2.67500000000E+009, -1.23231441631E+001, +0.00000000000E+000
+2.68000000000E+009, -1.01941932844E+001, +0.00000000000E+000
+2.68500000000E+009, -8.84796189619E+000, +0.00000000000E+000
+2.69000000000E+009, -8.05684164616E+000, +0.00000000000E+000
+2.69500000000E+009, -7.66419992208E+000, +0.00000000000E+000
+2.70000000000E+009, -7.51843708051E+000, +0.00000000000E+000
+2.70500000000E+009, -7.45453017195E+000, +0.00000000000E+000
+2.71000000000E+009, -7.31501631063E+000, +0.00000000000E+000
+2.71500000000E+009, -7.02098263554E+000, +0.00000000000E+000
+2.72000000000E+009, -6.41184787311E+000, +0.00000000000E+000
+2.72500000000E+009, -5.56919736923E+000, +0.00000000000E+000
+2.73000000000E+009, -4.69605173124E+000, +0.00000000000E+000
+2.73500000000E+009, -3.87879552696E+000, +0.00000000000E+000
+2.74000000000E+009, -3.12358599930E+000, +0.00000000000E+000
+2.74500000000E+009, -2.47077669973E+000, +0.00000000000E+000
+2.75000000000E+009, -1.97273005010E+000, +0.00000000000E+000
+2.75500000000E+009, -1.56810210017E+000, +0.00000000000E+000
+2.76000000000E+009, -1.24236619997E+000, +0.00000000000E+000
+2.76500000000E+009, -9.90546901309E-001, +0.00000000000E+000
+2.77000000000E+009, -8.11027648014E-001, +0.00000000000E+000
+2.77500000000E+009, -6.48480105895E-001, +0.00000000000E+000
+2.78000000000E+009, -5.44965331438E-001, +0.00000000000E+000
+2.78500000000E+009, -4.70625285486E-001, +0.00000000000E+000
+2.79000000000E+009, -4.28976773256E-001, +0.00000000000E+000
+2.79500000000E+009, -3.95349344700E-001, +0.00000000000E+000
+2.80000000000E+009, -4.16545142663E-001, +0.00000000000E+000
+2.80500000000E+009, -4.26594705750E-001, +0.00000000000E+000
+2.81000000000E+009, -4.68692846871E-001, +0.00000000000E+000
+2.81500000000E+009, -5.24120544709E-001, +0.00000000000E+000
+2.82000000000E+009, -6.06742851659E-001, +0.00000000000E+000
+2.82500000000E+009, -7.09968545917E-001, +0.00000000000E+000
+2.83000000000E+009, -8.61722677359E-001, +0.00000000000E+000
+2.83500000000E+009, -1.03873297097E+000, +0.00000000000E+000
+2.84000000000E+009, -1.25838841091E+000, +0.00000000000E+000
+2.84500000000E+009, -1.49678603359E+000, +0.00000000000E+000
+2.85000000000E+009, -1.76439256632E+000, +0.00000000000E+000
+2.85500000000E+009, -2.07117092609E+000, +0.00000000000E+000
+2.86000000000E+009, -2.35366881727E+000, +0.00000000000E+000
+2.86500000000E+009, -2.59753912591E+000, +0.00000000000E+000
+2.87000000000E+009, -2.76990397177E+000, +0.00000000000E+000
+2.87500000000E+009, -2.85871868412E+000, +0.00000000000E+000
+2.88000000000E+009, -2.84041888803E+000, +0.00000000000E+000
+2.88500000000E+009, -2.71055673220E+000, +0.00000000000E+000
+2.89000000000E+009, -2.57574701195E+000, +0.00000000000E+000
+2.89500000000E+009, -2.42393574469E+000, +0.00000000000E+000
+2.90000000000E+009, -2.25637488054E+000, +0.00000000000E+000
+2.90500000000E+009, -2.14116710656E+000, +0.00000000000E+000
+2.91000000000E+009, -2.07335400212E+000, +0.00000000000E+000
+2.91500000000E+009, -2.07866920344E+000, +0.00000000000E+000
+2.92000000000E+009, -2.11335671561E+000, +0.00000000000E+000
+2.92500000000E+009, -2.23900422429E+000, +0.00000000000E+000
+2.93000000000E+009, -2.45729943322E+000, +0.00000000000E+000
+2.93500000000E+009, -2.77657892511E+000, +0.00000000000E+000
+2.94000000000E+009, -3.18182780786E+000, +0.00000000000E+000
+2.94500000000E+009, -3.69939029471E+000, +0.00000000000E+000
+2.95000000000E+009, -4.20512770897E+000, +0.00000000000E+000
+2.95500000000E+009, -4.62155611596E+000, +0.00000000000E+000
+2.96000000000E+009, -4.73697280875E+000, +0.00000000000E+000
+2.96500000000E+009, -4.57758115987E+000, +0.00000000000E+000
+2.97000000000E+009, -4.20449126749E+000, +0.00000000000E+000
+2.97500000000E+009, -3.78250408064E+000, +0.00000000000E+000
+2.98000000000E+009, -3.40335008298E+000, +0.00000000000E+000
+2.98500000000E+009, -3.12937717296E+000, +0.00000000000E+000
+2.99000000000E+009, -2.95147918878E+000, +0.00000000000E+000
+2.99500000000E+009, -2.91546462127E+000, +0.00000000000E+000
+3.00000000000E+009, -2.98963753349E+000, +0.00000000000E+000
